number_of_rounds,best_iteration,best_ntreelimit,eta,gamma,max_depth,error
2500,1,1,0.005,20,2,0.2802487
2500,1,1,0.005,20,4,0.2802152
2500,1,1,0.005,20,6,0.2757214
2500,1,1,0.005,20,10,0.2709071
2500,13,13,0.005,20,20,0.2621602
2500,1,1,0.005,50,2,0.2802486
2500,1,1,0.005,50,4,0.2802486
2500,6,6,0.005,50,6,0.27566040000000003
2500,1,1,0.005,50,10,0.271165
2500,2,2,0.005,50,20,0.2626365
2500,1,1,0.005,100,2,0.2802486
2500,1,1,0.005,100,4,0.2802487
2500,7,7,0.005,100,6,0.2757216
2500,1,1,0.005,100,10,0.2718774
2500,1,1,0.005,100,20,0.2645044
2500,1,1,0.01,1,2,0.2802488
2500,3,3,0.01,1,4,0.2802486
2500,16,16,0.01,1,6,0.2756902
2500,1,1,0.01,1,10,0.27154880000000003
2500,98,98,0.01,1,20,0.2631837
2500,1,1,0.01,5,2,0.2802486
2500,8,8,0.01,5,4,0.2802487
2500,37,37,0.01,5,6,0.2756349
2500,1,1,0.01,5,10,0.2712732
2500,39,39,0.01,5,20,0.2611091
2500,1,1,0.01,20,2,0.2802486
2500,1,1,0.01,20,4,0.2801976
2500,32,32,0.01,20,6,0.27565660000000003
2500,2,2,0.01,20,10,0.2714209
2500,11,11,0.01,20,20,0.2618137
2500,1,1,0.01,50,2,0.2802484
2500,1,1,0.01,50,4,0.2800537
2500,1,1,0.01,50,6,0.2757432
2500,1,1,0.01,50,10,0.2709878
2500,3,3,0.01,50,20,0.2626422
2500,1,1,0.01,100,2,0.2802486
2500,1,1,0.01,100,4,0.2802486
2500,4,4,0.01,100,6,0.2757353
2500,1,1,0.01,100,10,0.2724641
2500,15,15,0.01,100,20,0.2646599
2500,1,1,0.03,1,2,0.2802486
2500,1,1,0.03,1,4,0.2799887
2500,11,11,0.03,1,6,0.2755976
2500,20,20,0.03,1,10,0.26913180000000003
2500,75,75,0.03,1,20,0.2624573
2500,1,1,0.03,5,2,0.2802485
2500,7,7,0.03,5,4,0.2802487
2500,16,16,0.03,5,6,0.27554829999999997
2500,20,20,0.03,5,10,0.2690805
2500,53,53,0.03,5,20,0.2605205
2500,1,1,0.03,20,2,0.2802488
2500,1,1,0.03,20,4,0.2802487
2500,15,15,0.03,20,6,0.275631
2500,22,22,0.03,20,10,0.2693365
2500,36,36,0.03,20,20,0.2615972
2500,1,1,0.03,50,2,0.2802486
2500,1,1,0.03,50,4,0.2802488
2500,14,14,0.03,50,6,0.2756251
2500,20,20,0.03,50,10,0.2703876
2500,1,1,0.03,50,20,0.2626344
2500,1,1,0.03,100,2,0.2802486
2500,1,1,0.03,100,4,0.2802487
2500,3,3,0.03,100,6,0.2757865
2500,71,71,0.03,100,10,0.2703068
2500,15,15,0.03,100,20,0.2645615
2500,1,1,0.05,1,2,0.2802487
2500,5,5,0.05,1,4,0.2802487
2500,9,9,0.05,1,6,0.27557180000000003
2500,12,12,0.05,1,10,0.2691967
2500,62,62,0.05,1,20,0.2623314
2500,1,1,0.05,5,2,0.2802487
2500,7,7,0.05,5,4,0.2802486
2500,11,11,0.05,5,6,0.2756525
2500,12,12,0.05,5,10,0.26921839999999997
